date,close,open,high,low,volume,change,sequence,sq
2014年8月21日,"2,230.46","2,239.57","2,240.08","2,211.63",16.57B,-0.44%,333.00,157.00
2014年8月22日,"2,240.81","2,228.97","2,243.30","2,225.27",16.01B,0.46%,332.00,158.00
2014年8月25日,"2,229.27","2,241.10","2,241.55","2,222.01",16.21B,-0.51%,331.00,159.00
2014年8月26日,"2,207.11","2,225.29","2,232.78","2,200.62",16.35B,-0.99%,330.00,160.00
2014年8月27日,"2,209.47","2,207.03","2,216.67","2,204.05",12.09B,0.11%,329.00,161.00
2014年8月28日,"2,195.82","2,210.48","2,219.47","2,194.86",12.42B,-0.62%,328.00,162.00
2014年8月29日,"2,217.20","2,198.95","2,218.70","2,193.26",10.52B,0.97%,327.00,163.00
2014年9月1日,"2,235.51","2,220.13","2,236.29","2,217.68",12.92B,0.83%,326.00,164.00
2014年9月2日,"2,266.05","2,239.68","2,267.51","2,234.38",19.21B,1.37%,325.00,165.00
2014年9月3日,"2,288.63","2,268.39","2,290.55","2,268.10",21.25B,1.00%,324.00,166.00
2014年9月4日,"2,306.86","2,290.03","2,307.70","2,283.28",19.95B,0.80%,323.00,167.00
2014年9月5日,"2,326.43","2,311.30","2,327.56","2,307.45",21.32B,0.85%,322.00,168.00
2014年9月9日,"2,326.53","2,328.43","2,331.92","2,315.89",19.70B,0.00%,321.00,169.00
2014年9月10日,"2,318.31","2,318.50","2,321.91","2,306.42",18.98B,-0.35%,320.00,170.00
2014年9月11日,"2,311.68","2,315.73","2,343.59","2,304.60",22.22B,-0.29%,319.00,171.00
2014年9月12日,"2,331.95","2,308.35","2,331.95","2,302.77",19.35B,0.88%,318.00,172.00
2014年9月15日,"2,339.14","2,330.19","2,340.45","2,321.59",21.51B,0.31%,317.00,173.00
2014年9月16日,"2,296.56","2,341.03","2,347.93","2,293.87",30.27B,-1.82%,316.00,174.00
2014年9月17日,"2,307.89","2,298.98","2,309.05","2,282.79",21.08B,0.49%,315.00,175.00
2014年9月18日,"2,315.93","2,303.85","2,319.87","2,297.93",18.91B,0.35%,314.00,176.00
2014年9月19日,"2,329.45","2,312.98","2,331.56","2,305.52",17.46B,0.58%,313.00,177.00
2014年9月22日,"2,289.87","2,323.55","2,323.55","2,284.38",17.58B,-1.70%,312.00,178.00
2014年9月23日,"2,309.72","2,289.09","2,311.53","2,289.02",15.69B,0.87%,311.00,179.00
2014年9月24日,"2,343.57","2,302.23","2,345.75","2,297.88",22.25B,1.47%,310.00,180.00
2014年9月25日,"2,345.10","2,352.86","2,365.15","2,336.81",22.57B,0.07%,309.00,181.00
2014年9月26日,"2,347.72","2,339.29","2,350.11","2,329.96",17.47B,0.11%,308.00,182.00
2014年9月29日,"2,357.71","2,353.71","2,363.06","2,346.58",20.01B,0.43%,307.00,183.00
2014年9月30日,"2,363.87","2,361.32","2,365.49","2,354.27",19.39B,0.26%,306.00,184.00
2014年10月8日,"2,382.79","2,368.58","2,382.79","2,354.29",20.44B,0.80%,305.00,185.00
